date_time;result;player;dealer;
2016-2-23 14:52:16;win;10♥ 9♦;7♥ A♥;
2016-2-23 14:52:16;win;10♥ 9♦;7♥ A♥;
2016-2-23 14:52:16;win;10♥ 9♦;7♥ A♥;
2016-2-23 14:52:16;win;10♥ 9♦;7♥ A♥;
2016-2-23 14:52:16;win;10♥ 9♦;7♥ A♥;
2016-2-23 14:52:16;win;10♥ 9♦;7♥ A♥;
2016-2-23 14:52:36;lose;6♦ 7♦;J♥ 10♥;
2016-2-23 14:52:41;lose;9♦ 8♣;A♦ 2♥ 8♠;
2016-2-23 14:52:45;win;Q♠ 10♥;6♥ 7♥ A♣ 3♠;
2016-2-23 14:58:8;win;2♣ 3♣ J♣ 6♠;4♠ 3♥ K♠;
2016-2-23 15:19:51;lose;2♣ Q♥ 10♦;Q♠;
2016-2-23 15:19:56;lose;7♣ 2♣ K♠;A♠ 5♥ 4♦;
2016-2-23 15:20:0;lose;5♠ 10♣ K♠;A♠;
2016-2-23 15:20:4;win;3♠ 8♦ Q♣;Q♦ 4♦ 6♠;
2016-2-23 15:20:9;lose;6♠ 2♠ 9♥ 8♣;5♥;
2016-2-23 15:20:13;lose;K♣ 3♦ 7♥;4♥ 7♦ J♠;
2016-2-23 15:20:16;lose;J♠ J♦;A♠ J♣;
2016-2-23 15:20:19;lose;2♦ Q♦;10♣ 8♥;
2016-2-23 15:20:24;win;6♦ 4♣ 9♥;7♦ 5♣ 6♠;
2016-2-23 15:20:27;lose;6♦ 10♣;8♦ 8♠ 3♠;
2016-2-23 15:20:34;win;5♥ 4♦ K♣;Q♥ 8♥;
2016-2-23 15:20:38;lose;Q♦ 8♦;K♠ 5♦ 6♠;
2016-2-23 15:20:41;win;K♣ 9♦;7♦ K♦;
2016-2-23 15:20:47;lose;2♦ Q♥ 4♣ 8♥;8♠;
2016-2-23 15:20:53;deadHeat;5♣ Q♦ 4♣;2♣ A♦ 6♠;
2016-2-23 17:0:53;win;4♦ A♥ 5♣;10♦ 9♠;
